,category,link,title,summary
73,理財,https://meet.bnext.com.tw/articles/view/46206,女力創業的大好時代！CrunchBase 趨勢報告：過去 1 年由女性所打造的獨角獸公司創歷年新高,女力創業的大好時代！CrunchBase 趨勢報告：過去 1 年由女性所打造的獨角獸公司創歷年新高
74,數位時代,https://www.bnext.com.tw/article/57398/momo-shareholder-2020-letter,富邦媒林啟峯致股東信：momo做對4件事，從「一站式購足」升級「包辦生活大小事」｜數位時代,富邦媒林啟峯致股東信：momo做對4件事，從「一站式購足」升級「包辦生活大小事」｜數位時代
75,科技,https://www.techbang.com/posts/77987-amd-launches-ryzen-3-3300x-and-ryzen-3-3100-with-zen2-and-b550-chipset-support-pcie-40,AMD 推出 Zen 2 微架構第三代 Ryzen 3 3300X 和 Ryzen 3 3100，B550 晶片組同享 PCIe 4.0 | T客邦,AMD 推出 Zen 2 微架構第三代 Ryzen 3 3300X 和 Ryzen 3 3100，B550 晶片組同享 PCIe 4.0 | T客邦
76,行銷,https://www.bnext.com.tw/article/57238/digital-ad-frauds,"年損1,900億元！小心數位廣告作弊，搞懂無效流量、避免行銷預算被詐騙｜數位時代","年損1,900億元！小心數位廣告作弊，搞懂無效流量、避免行銷預算被詐騙｜數位時代"
77,行銷,https://www.bnext.com.tw/article/57290/online-curator,實體活動都取消該怎麼辦？行銷人看過來，「線上策展」必備戰略｜數位時代,實體活動都取消該怎麼辦？行銷人看過來，「線上策展」必備戰略｜數位時代
78,理財,https://www.bnext.com.tw/article/57409/taya-solar-power-low-oil-price-period,大亞32億元聯貸案到手，把養殖漁塭變身太陽能電廠成首例｜數位時代,大亞32億元聯貸案到手，把養殖漁塭變身太陽能電廠成首例｜數位時代
79,資訊安全,https://www.bnext.com.tw/article/57411/zoom-5-update-security-privacy-update,Zoom 5.0安全更新來了，3大重點強化線上會議隱私｜數位時代,Zoom 5.0安全更新來了，3大重點強化線上會議隱私｜數位時代
80,趨勢與策略,https://www.bnext.com.tw/article/57405/digital-marketing-google-covid19-talent,Google啟動8千名行銷人培育計畫，補疫情劃破的數位人才大缺口｜數位時代,Google啟動8千名行銷人培育計畫，補疫情劃破的數位人才大缺口｜數位時代
81,商業,https://www.bnext.com.tw/article/57408/whale-2020-delta-foundation,臺達電首支8K海洋紀錄片《鯨碳之歌》，號召民眾用創作解密座頭鯨語言｜數位時代,臺達電首支8K海洋紀錄片《鯨碳之歌》，號召民眾用創作解密座頭鯨語言｜數位時代
82,科技,https://www.techbang.com/posts/77932-asus-self-exposed-z490-host-version-of-information-of-course-support-intel-10th-generation-processor,Asus自曝Z490主機版資訊，當然是支援Intel第10代處理器 | T客邦,Asus自曝Z490主機版資訊，當然是支援Intel第10代處理器 | T客邦
